horizon_days,target,cell,selected_algorithm,n_train,n_test,RMSE,MAE,R2,NSE,KGE,R2_reference_learner
30,snowc,74,Extra Trees,19321,4018,19.718092796684513,9.536266683941987,0.8068289942886698,0.8068289840438023,0.8531862640196977,0.8040174245834351
30,snowc,75,Extra Trees,19321,4018,18.306037573964502,8.71232082126792,0.844119511335725,0.8441195084754107,0.8726160577945266,0.8397221565246582
30,snowc,76,Extra Trees,19321,4018,20.053943110887158,9.573050485354639,0.8116014932088722,0.8116014863825918,0.8571229839918498,0.8069987893104553
30,snowc,77,Extra Trees,19321,4018,19.754703163426903,9.213888930403282,0.8204301063256768,0.8204300996936367,0.8653674837233105,0.8217809796333313
30,snowc,78,Extra Trees,19321,4018,18.78748531731534,8.640060298526148,0.8400902937080417,0.8400902889929039,0.8774286457170027,0.8365336656570435
30,snowc,79,Extra Trees,19321,4018,18.840456133043354,9.114964429060995,0.8301984427989586,0.8301984498546698,0.8729730252873217,0.8297927975654602
30,snowc,80,Extra Trees,19321,4018,20.467203716444807,9.906566647451918,0.8008169696637284,0.8008169571732103,0.8505917698266222,0.7997111678123474
30,snowc,81,Extra Trees,19321,4018,20.295762185490766,9.837920818062555,0.8012127197868995,0.8012127223838038,0.8530863754647264,0.8012531399726868
30,sd,0,XGBoost,19321,4018,0.022776907951668566,0.009158773347735405,-0.21643972396850586,-0.21643972396850586,-0.03413486887495698,-0.21643972396850586
30,sd,1,XGBoost,19321,4018,0.04365377013118373,0.019397014752030373,0.5171953439712524,0.5171953439712524,0.5605092920011642,0.5171953439712524
30,sd,2,XGBoost,19321,4018,0.041495926875332184,0.018431272357702255,0.468386173248291,0.468386173248291,0.5603682161490355,0.468386173248291
30,sd,3,XGBoost,19321,4018,0.04011209590019362,0.018581409007310867,0.5827254056930542,0.5827254056930542,0.6098280873502042,0.5827254056930542
30,sd,4,XGBoost,19321,4018,0.04182779909496074,0.020439181476831436,0.7404320240020752,0.7404320240020752,0.7256016328291035,0.7404320240020752
30,sd,5,XGBoost,19321,4018,0.05151159273263645,0.02501867152750492,0.731036901473999,0.731036901473999,0.7660447827544046,0.731036901473999
30,sd,6,XGBoost,19321,4018,0.0612888727647119,0.030690623447299004,0.7832965850830078,0.7832965850830078,0.8117861339950567,0.7832965850830078
30,sd,7,XGBoost,19321,4018,0.058938346281149884,0.029661789536476135,0.8047008514404297,0.8047008514404297,0.8223564885789774,0.8047008514404297
30,sd,8,XGBoost,19321,4018,0.05602661860561309,0.029189137741923332,0.8341591358184814,0.8341591358184814,0.850085158357071,0.8341591358184814
