year,snowc,sd,smlt_mm,t2m_C_bc,snw_mm_raw,model,scenario
2085,38.308125,0.119788885,630.2224,8.299890345844634,0.04995968,bcc_csm2_mr,SSP5-8.5
2086,39.025066,0.13949475,616.17975,8.257920983956142,0.978132,bcc_csm2_mr,SSP5-8.5
2087,40.630207,0.15875883,619.8485,7.7031450933546965,0.3815587,bcc_csm2_mr,SSP5-8.5
2088,39.706226,0.13094236,822.61914,9.154313622967925,0.009704167,bcc_csm2_mr,SSP5-8.5
2089,36.81989,0.111575395,615.63885,8.618094725783129,0.4048802,bcc_csm2_mr,SSP5-8.5
2090,41.382294,0.12376686,739.73535,8.158429239842972,0.1544052,bcc_csm2_mr,SSP5-8.5
2091,37.411797,0.12405747,636.30286,9.336597898452679,0.24768935,bcc_csm2_mr,SSP5-8.5
2092,41.21553,0.12453217,687.7867,8.321302332527464,0.61021227,bcc_csm2_mr,SSP5-8.5
2093,35.987385,0.13870354,711.7466,10.201177652295788,0.1092509,bcc_csm2_mr,SSP5-8.5
2094,38.2258,0.117804416,805.18835,10.104663352418733,0.7482615,bcc_csm2_mr,SSP5-8.5
2095,40.910828,0.13066678,750.1155,8.848908352172705,0.2780436,bcc_csm2_mr,SSP5-8.5
2096,39.042355,0.11361528,678.85626,8.993787556608831,0.1936086,bcc_csm2_mr,SSP5-8.5
2097,35.110943,0.13325839,637.05634,9.404883222021512,0.24520494,bcc_csm2_mr,SSP5-8.5
2098,36.72226,0.13103586,487.4232,9.178715690844449,0.25589442,bcc_csm2_mr,SSP5-8.5
2099,40.475662,0.10246206,464.3263,8.562959036216382,0.93531895,bcc_csm2_mr,SSP5-8.5
2015,43.906097,0.17158224,663.69104,5.46798428880366,2.3530135,canesm5_canoe,SSP2-4.5
2016,51.31903,0.17274289,920.63696,4.856272952294209,6.213606,canesm5_canoe,SSP2-4.5
2017,44.997467,0.15204102,753.11334,5.324495566856809,7.0466366,canesm5_canoe,SSP2-4.5
2018,49.988026,0.201379,666.80304,4.878179892616452,5.8921075,canesm5_canoe,SSP2-4.5
2019,46.366898,0.16089611,965.2771,6.377816792362402,2.297875,canesm5_canoe,SSP2-4.5
2020,46.743206,0.12445366,789.38696,6.403172779754239,2.0614188,canesm5_canoe,SSP2-4.5
2021,46.473804,0.15628889,729.7008,5.813763906566027,3.248909,canesm5_canoe,SSP2-4.5
2022,45.000797,0.15951018,843.8119,6.370659613629104,5.1858563,canesm5_canoe,SSP2-4.5
2023,45.968525,0.1440671,855.5308,5.03615168906046,4.162846,canesm5_canoe,SSP2-4.5
2024,46.310764,0.16429631,803.0821,4.907812235862381,4.861568,canesm5_canoe,SSP2-4.5
2025,42.5948,0.13936734,978.3632,7.1722062216039815,2.3297336,canesm5_canoe,SSP2-4.5
2026,44.388042,0.16542588,1014.4696,6.619342281052929,0.37857863,canesm5_canoe,SSP2-4.5
2027,47.124233,0.13767122,758.7714,5.941728932505384,2.1418903,canesm5_canoe,SSP2-4.5
2028,43.401836,0.123363614,669.6899,5.8290325257288,8.04209,canesm5_canoe,SSP2-4.5
