horizon_days,target,method,RMSE,MAE,R2,NSE,KGE,RMSE_ci_low,RMSE_ci_high,R2_ci_low,R2_ci_high,block_len_days,bootstrap_draws
7,smlt_mm,Seasonal AR with annual harmonics,3.1239180375187448,1.7084245162109617,0.6190205218440362,0.6190205218440362,0.7087682819718617,2.8285720250649056,3.4194220570927913,0.5241017639072084,0.6859385174064686,5,2000
7,smlt_mm,Exponential smoothing,3.5477652711112873,1.179560936998489,0.5086261082042127,0.5086261082042127,0.7538347212378912,3.028052592568973,4.0293499433915425,0.33153705395003374,0.6476574895693696,5,2000
7,smlt_mm,"SARIMAX(3, 0, 1) with Fourier seasonality",3.1037480967339173,1.6935810136641183,0.6239243163900638,0.6239243163900638,0.6890151113085274,2.8108743222730186,3.372686114028874,0.5352372853773317,0.6912293076771697,5,2000
7,smlt_mm,"Degree-day, climatological target-date T",4.228191914338543,1.884438507736504,0.30207026144483906,0.30207026144483906,0.3255479142752672,3.8211092211854516,4.613150197337586,0.23061800331264995,0.35282246473593726,5,2000
7,smlt_mm,"Degree-day, observed target-date T (oracle)",3.92112624424633,1.8146147536067099,0.3997613299322048,0.3997613299322048,0.4946182196319614,3.5705216679782557,4.256326983296642,0.2855469375833026,0.4744514396430181,5,2000
15,snowc,CryoSENSE-HK (Extra Trees),12.314860038455782,4.4444134561490225,0.9364624526110268,0.9364624526110268,0.9414480467195321,10.271595186385564,14.53162845556501,0.9109665025214508,0.9559442388910449,11,2000
15,snowc,Persistence (issue-day t),26.210344820567627,8.585954183025713,0.7121826600927372,0.7121826600927372,0.8560913300463691,22.0853683341588,29.88341931392278,0.6232450263525996,0.795965345314638,11,2000
15,snowc,Training target-DOY climatology,18.158029864974914,7.460956221704907,0.861863344115307,0.861863344115307,0.8711861923390163,15.306716901141181,20.89803666105422,0.8149696310561637,0.9022392369576933,11,2000
15,snowc,Lagged linear regression,24.83051537886259,14.32141648252207,0.7416889685575712,0.7416889685575712,0.7954228363276046,21.555639973045352,28.07961757401174,0.6676017495362389,0.8045296344668812,11,2000
15,snowc,Seasonal AR with annual harmonics,19.257393896951456,12.731374146536325,0.8446302333950918,0.8446302333950918,0.8623167306196261,17.327292252089233,21.1784585272307,0.8095870669530718,0.8749999076158351,11,2000
15,snowc,Exponential smoothing,26.235291314459378,8.611154371530466,0.7116345215261606,0.7116345215261606,0.8557728493227096,22.34543662395332,30.068473446301034,0.6196767239870942,0.7897896511352493,11,2000
15,snowc,"SARIMAX(3, 0, 1) with Fourier seasonality",19.86845952896485,13.100863756658145,0.8346135679629012,0.8346135679629012,0.8735588111094434,17.89095735524112,21.824057249345298,0.7989786037430348,0.8659702672114268,11,2000
15,sd,CryoSENSE-HK (Extra Trees),0.03834697338929296,0.021577921880039295,0.9646804452033377,0.9646804452033377,0.9506633972624063,0.0335656468970363,0.04290926757667437,0.9524013210967885,0.9736872855276952,18,2000
15,sd,Persistence (issue-day t),0.08492663627548393,0.0445500946438334,0.82676290886902,0.82676290886902,0.913376035312202,0.07135457893005166,0.09824414642908033,0.7450173185825548,0.8836518894483931,18,2000
15,sd,Training target-DOY climatology,0.12007909942374215,0.06593001436678768,0.6536717800801695,0.6536717800801695,0.6945447887976786,0.10066344373183038,0.13888631138111623,0.5122266783253002,0.7571456931209853,18,2000
15,sd,Lagged linear regression,0.05831960711100858,0.0408570894290315,0.9183074945826272,0.9183074945826272,0.94304892435637,0.052322560156774896,0.06396181791334905,0.8950495769269029,0.9355667939113234,18,2000
15,sd,Seasonal AR with annual harmonics,0.05162581079871215,0.03383441992167365,0.9359842545147121,0.9359842545147121,0.9458057748654255,0.046204385580997376,0.05731958262098548,0.9175293848753978,0.948386396266658,18,2000
15,sd,Exponential smoothing,0.08517485858845386,0.04469466994367344,0.8257487593597728,0.8257487593597728,0.9128656175111436,0.07180195715277875,0.09871958838418556,0.7420534694900403,0.8832236118057362,18,2000
15,sd,"SARIMAX(3, 0, 1) with Fourier seasonality",0.05879826289286136,0.041260916622210854,0.9169610158099274,0.9169610158099274,0.9521990785223322,0.05215950967906721,0.06568676830009512,0.887414476312361,0.9361168075641033,18,2000
15,smlt_mm,CryoSENSE-HK (Extra Trees),2.2412274990620933,0.7942005224083204,0.8039015296261889,0.8039015296261889,0.7301009481751017,1.8841140905192586,2.5817396516356843,0.7430290190336516,0.8508501793729137,10,2000
15,smlt_mm,Persistence (issue-day t),4.905150172943242,1.7738127399867318,0.060694344669416034,0.060694344669416034,0.5303471723347079,4.150700949560785,5.620275198238957,-0.33743566343900605,0.3395645921995932,10,2000
15,smlt_mm,Training target-DOY climatology,3.876038061575095,1.5764321035861326,0.41348599446860157,0.41348599446860157,0.6100359431791764,3.338671801701957,4.4371035066831,0.20362574938754238,0.5611019209145947,10,2000
15,smlt_mm,Lagged linear regression,4.2141903262868645,2.4144344997834977,0.30668497372410464,0.30668497372410464,0.35660226073246026,3.66316469973169,4.759444451088749,0.171749346271897,0.4016197262385024,10,2000
15,smlt_mm,Seasonal AR with annual harmonics,3.726493472926517,2.36037485654959,0.45787048649601336,0.45787048649601336,0.5584027418668107,3.351266748415375,4.136146580213879,0.3210895159153089,0.540828971147452,10,2000
15,smlt_mm,Exponential smoothing,4.9049924337798565,1.782433683837155,0.06075475582938883,0.06075475582938883,0.5275886288597533,4.157392917998452,5.624093670124836,-0.3240691359765436,0.3379324951321204,10,2000
15,smlt_mm,"SARIMAX(3, 0, 1) with Fourier seasonality",3.696766682421545,2.3334083488052206,0.4664852830315861,0.4664852830315861,0.5218238914795374,3.309409772691754,4.091227366536556,0.3367535799142025,0.5451340960380389,10,2000
15,smlt_mm,"Degree-day, climatological target-date T",4.418820207111251,2.087805570309373,0.23771919518107265,0.23771919518107265,0.2597272173288535,3.8539573243567435,5.016000224196186,0.14053236950501008,0.2967189952989384,10,2000
15,smlt_mm,"Degree-day, observed target-date T (oracle)",3.92112624424633,1.8146147536067099,0.3997613299322048,0.3997613299322048,0.4946182196319614,3.4691696540876276,4.351678701580637,0.24931982533513516,0.49253167735448766,10,2000
30,snowc,CryoSENSE-HK (Extra Trees),12.892803091319015,5.073852554629923,0.9303588096663171,0.9303588096663171,0.9260219889411777,10.966377713974119,14.668031974267766,0.9092548244895591,0.9497639698894945,11,2000
30,snowc,Persistence (issue-day t),38.240479912886904,16.487155498157342,0.38734193642274983,0.38734193642274983,0.6937661543010969,34.19004127918753,42.190853618479366,0.24714340196035386,0.5111541137988334,11,2000
30,snowc,Training target-DOY climatology,18.1580298659658,7.460958952216045,0.8618633441002307,0.8618633441002307,0.8711861989090532,15.178149913126038,21.01997280746211,0.8121141226464255,0.9036464447409427,11,2000
30,snowc,Lagged linear regression,34.13119810846532,25.28592485976711,0.5119384968370684,0.5119384968370684,0.5942558599754388,31.39911997175471,36.86085459801893,0.42692087047957783,0.5871865100653375,11,2000
30,snowc,Seasonal AR with annual harmonics,21.02368401996018,14.999677271367247,0.8148221117382826,0.8148221117382826,0.822104773652682,19.251111648912673,22.80549711738893,0.7788927509441508,0.8452246570562536,11,2000
