horizon_days,target,cell,selected_algorithm,n_train_local,n_test_local,RMSE_local,MAE_local,R2_local,NSE_local,KGE_local,R2_reference_learner,algorithm,n_train_cells,n_train_transfer,n_test_transfer,RMSE_transfer,MAE_transfer,R2_transfer,NSE_transfer,KGE_transfer,R2_transfer_loss,R2_learner_gap
1,snowc,75,Random Forest,19350,4018,5.278942749577209,1.3483697952978484,0.9870372554153232,0.9870372551774644,0.9914983758441042,0.9867771863937378,XGBoost,81,1567350,4018,5.2343190659907926,1.4081850051879885,0.9872554540634156,0.98725545,0.9907984917471164,-0.0004782676696778454,0.00026006902158537404
1,snowc,76,Random Forest,19350,4018,5.401585667543546,1.3892352277821185,0.986331513263946,0.9863315127686928,0.9906996204049292,0.9857723116874696,XGBoost,81,1567350,4018,5.503340660258236,1.486057162284851,0.985811710357666,0.9858117,0.9904933119508884,-3.939867019642218e-05,0.0005592015764763758
1,snowc,77,Random Forest,19350,4018,4.877818964743535,1.1923275605559345,0.9890517712055826,0.9890517708012326,0.9921144012988828,0.988932192325592,XGBoost,81,1567350,4018,4.936811761331526,1.2956700325012207,0.9887853264808656,0.9887853,0.991437438788029,0.00014686584472645148,0.00011957887999058947
1,snowc,78,Random Forest,19350,4018,4.6469950599375025,1.0908150493154491,0.9902167773194596,0.990216777030989,0.9933936106125,0.989959478378296,XGBoost,81,1567350,4018,4.623580302321105,1.1650031805038452,0.9903151392936708,0.99031514,0.9924262288169398,-0.00035566091537475586,0.0002572989411635529
1,snowc,79,Random Forest,19350,4018,4.468699975147213,1.1604613808913125,0.9904474078096746,0.9904474082066104,0.9934993824614928,0.989782214164734,XGBoost,81,1567350,4018,4.534657427078371,1.2308197021484375,0.9901633262634276,0.9901633,0.9926438547409706,-0.0003811120986936256,0.0006651936449405538
1,snowc,80,Random Forest,19350,4018,5.228504946749434,1.396463477084117,0.9870015862333312,0.987001585418217,0.9907446407567132,0.9871103167533876,XGBoost,81,1567350,4018,5.15276352890983,1.4524519443511963,0.9873754382133484,0.98737544,0.9906340399602112,-0.0002651214599608265,-0.00010873052005633266
1,snowc,81,Random Forest,19350,4018,5.031996737597606,1.3299846061733724,0.9877803557447328,0.9877803559043667,0.991594594608566,0.9877296090126038,XGBoost,81,1567350,4018,5.060708188040677,1.4421026706695557,0.9876405000686646,0.9876405,0.9910277835068416,8.910894393920898e-05,5.074673212901448e-05
1,sd,0,Random Forest,19350,4018,0.0018643870992355,0.000551943519398,0.9918497077714388,0.991849707009676,0.9828733243009036,0.989839494228363,XGBoost,81,1567350,4018,0.0023710131098288,0.0009764271089807,0.9868183732032776,0.9868184,0.9093268044694368,0.0030211210250854492,0.002010213543075734
1,sd,1,Random Forest,19350,4018,0.0030292899936185,0.0011202314946866,0.9976750712736536,0.9976750712994432,0.9911978975358706,0.9971659779548644,XGBoost,81,1567350,4018,0.0033684670575771,0.0013912301510572,0.9971253275871276,0.9971253,0.9890254390677272,4.0650367736816406e-05,0.0005090933187892333
1,sd,2,Random Forest,19350,4018,0.0029960788449391,0.0011186220065327,0.9972286475469588,0.997228647326458,0.990422580955954,0.9967449307441713,XGBoost,81,1567350,4018,0.0035264182464977,0.0015067986678332,0.9961606860160828,0.9961607,0.983190212125249,0.0005842447280884899,0.00048371680278758156
1,sd,3,Random Forest,19350,4018,0.003176078868184,0.0012266151263438,0.9973839029414572,0.9973839031811312,0.9897309376415584,0.9971269965171814,XGBoost,81,1567350,4018,0.0034763884228719,0.001517248689197,0.9968658089637756,0.9968658,0.9844075433826612,0.0002611875534057617,0.00025690642427578236
1,sd,4,Random Forest,19350,4018,0.0032562480880452,0.0013345579976431,0.998426900867127,0.9984269008972,0.9929750370575092,0.9981289505958556,XGBoost,81,1567350,4018,0.0036878675831126,0.0016630516620352,0.9979822039604188,0.9979822,0.9869347615905152,0.00014674663543678967,0.000297950271271441
1,sd,5,Random Forest,19350,4018,0.0040370695576658,0.0015371470530629,0.9983479801926518,0.9983479802468176,0.9939435247867504,0.9980874061584472,XGBoost,81,1567350,4018,0.0043361653079349,0.0018043083837255,0.9980941414833068,0.99809414,0.9899230891121994,-6.735324859619141e-06,0.0002605740342046525
