horizon_days,target,target_col,feature_group,rank,feature,MI_training,selected
1,smlt_mm,smlt_mm_h1,B_atmosphere_snowfall_memory,34,sf_mm_lag7,0.021795842346063132,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,1,smlt_mm_lag1,0.7560479319836002,True
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,2,sd_lag0,0.6055869641627059,True
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,3,snowc_lag0,0.5751428953804529,True
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,4,sro_mm,0.5624884966240389,True
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,5,sd_lag1,0.5570490526594112,True
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,6,rsn,0.5463678713246427,True
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,7,snowc_lag1,0.5171031866405658,True
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,8,smlt_mm_lag3,0.5154376847485489,True
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,9,sd_lag3,0.4414645983509633,True
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,10,snowc_lag3,0.41652208340624597,True
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,11,doy_sin,0.40341384807737946,True
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,12,doy_cos,0.3924928468799749,True
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,13,t2m_C,0.3924395846856683,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,14,sde_mm,0.3665172574642277,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,15,t2m_C_lag1,0.3644131707491507,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,16,tsn_C,0.3578639066002287,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,17,ro_mm,0.3427874101499402,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,18,smlt_mm_lag7,0.33818354087514546,False
1,smlt_mm,smlt_mm_h1,C_full_reanalysis_state,19,t2m_C_lag3,0.32968738109218165,False
