horizon_days,target,cell,algorithm,n_train_cells,n_train,n_test,RMSE,MAE,R2,NSE,KGE
1,sd,3,XGBoost,81,1567350,4018,0.003476388422871917,0.0015172486891970038,0.9968658089637756,0.9968658,0.9844075433826611
1,sd,4,XGBoost,81,1567350,4018,0.0036878675831126784,0.0016630516620352864,0.9979822039604187,0.9979822,0.9869347615905152
1,sd,5,XGBoost,81,1567350,4018,0.004336165307934929,0.0018043083837255836,0.9980941414833069,0.99809414,0.9899230891121994
1,sd,6,XGBoost,81,1567350,4018,0.004878656473814176,0.001894479151815176,0.9986268877983093,0.9986269,0.997343497584157
1,sd,7,XGBoost,81,1567350,4018,0.004717294841510519,0.0018755840137600899,0.9987488985061646,0.9987489,0.9991945092547102
1,sd,8,XGBoost,81,1567350,4018,0.0047443078339030635,0.0020432735327631235,0.9988108277320862,0.9988108,0.9954121253840641
1,sd,9,XGBoost,81,1567350,4018,0.004920482242716188,0.002246159827336669,0.9989429712295532,0.998943,0.9949525957980934
1,sd,10,XGBoost,81,1567350,4018,0.004772001791970191,0.002198181115090847,0.999045193195343,0.9990452,0.995407134632127
1,sd,11,XGBoost,81,1567350,4018,0.004720959318428911,0.002008746610954404,0.9987040162086487,0.998704,0.9970653948800208
1,sd,12,XGBoost,81,1567350,4018,0.004582670543496243,0.0018993666162714362,0.9987178444862366,0.99871784,0.9990934909646986
1,sd,13,XGBoost,81,1567350,4018,0.004556479436652463,0.001768361427821219,0.9987828135490417,0.9987828,0.9929116793041811
1,sd,14,XGBoost,81,1567350,4018,0.004710143479607466,0.0020371954888105392,0.9988545179367065,0.9988545,0.9980516880944604
1,sd,15,XGBoost,81,1567350,4018,0.004944533430032104,0.0021823111455887556,0.9989275932312012,0.9989276,0.9953846012651165
1,sd,16,XGBoost,81,1567350,4018,0.004919852087818153,0.0022044393699616194,0.9987258911132812,0.9987259,0.9967671665660185
1,sd,17,XGBoost,81,1567350,4018,0.0047020457381325795,0.001901731244288385,0.9987804293632507,0.9987804,0.9984763032839558
1,sd,18,XGBoost,81,1567350,4018,0.004850922696397043,0.0020331477280706167,0.9988152980804443,0.9988153,0.997815779577543
1,sd,19,XGBoost,81,1567350,4018,0.005088824203493511,0.0022423204500228167,0.9989154934883118,0.9989155,0.9967070857852566
1,sd,20,XGBoost,81,1567350,4018,0.005307599675385205,0.0023949244059622288,0.9989702701568604,0.99897027,0.9948047538225027
1,sd,21,XGBoost,81,1567350,4018,0.0050922591906082245,0.0021991159301251173,0.9989369511604309,0.99893695,0.9989215417511419
1,sd,22,XGBoost,81,1567350,4018,0.004817793315349232,0.001985252369195223,0.9989916086196899,0.9989916,0.9958610709567258
1,sd,23,XGBoost,81,1567350,4018,0.004722944741263921,0.0020622818265110254,0.9989621639251709,0.99896216,0.9988286793125852
1,sd,24,XGBoost,81,1567350,4018,0.004286273698887955,0.0019866214133799076,0.9988704919815063,0.9988705,0.993162717536014
1,sd,25,XGBoost,81,1567350,4018,0.0038142416205081547,0.001758410595357418,0.9984713792800903,0.9984714,0.9894226268253355
1,sd,26,XGBoost,81,1567350,4018,0.005284963115384413,0.0023832388687878847,0.9991551637649536,0.99915516,0.9977232040285366
1,sd,27,XGBoost,81,1567350,4018,0.00508123958394156,0.0021818282548338175,0.9990984201431274,0.9990984,0.9968960703690353
1,sd,28,XGBoost,81,1567350,4018,0.005009207732222366,0.0021887558978050947,0.9990864396095276,0.99908644,0.9987150292430381
1,sd,29,XGBoost,81,1567350,4018,0.005291376326329714,0.002445881487801671,0.9991245269775391,0.9991245,0.998061492607443
1,sd,30,XGBoost,81,1567350,4018,0.006566901625851995,0.002869456307962537,0.9988808035850525,0.9988808,0.994546438091848
1,sd,31,XGBoost,81,1567350,4018,0.005725199148461945,0.0025984381791204214,0.9990915060043335,0.9990915,0.9987299591111098
1,sd,32,XGBoost,81,1567350,4018,0.005113004936335525,0.0023783294018357992,0.9990552663803101,0.99905527,0.9982804987152061
1,sd,33,XGBoost,81,1567350,4018,0.004978132613092377,0.0023266449570655823,0.9990715980529785,0.9990716,0.9962337103621602
1,sd,34,XGBoost,81,1567350,4018,0.005142799437264193,0.0024506140034645796,0.9991262555122375,0.99912626,0.9955096479339021
1,sd,35,XGBoost,81,1567350,4018,0.005043450877547076,0.002378887264057994,0.9990875124931335,0.9990875,0.99559068173719
1,sd,36,XGBoost,81,1567350,4018,0.004681087820055656,0.002208668040111661,0.9990207552909851,0.99902076,0.996018237655329
1,sd,37,XGBoost,81,1567350,4018,0.004364583838502821,0.002044247230514884,0.9989370107650757,0.998937,0.9948351306367172
1,sd,38,XGBoost,81,1567350,4018,0.004172497664017964,0.001966513227671385,0.9988604187965393,0.9988604,0.9931544257826137
1,sd,39,XGBoost,81,1567350,4018,0.008151874621472476,0.0033071942161768675,0.9985731840133667,0.9985732,0.995291602878315
