horizon_days,target,algorithm,settings,is_published,valid_RMSE,test_R2,test_RMSE
7,smlt_mm,XGBoost,"n_estimators=300, max_depth=4, learning_rate=0.12",False,2.215111826914481,0.8207191094868347,2.1429687591240905
7,smlt_mm,XGBoost,"n_estimators=300, max_depth=6, learning_rate=0.03",False,2.1687287828431283,0.8245423258576685,2.119995911999389
7,smlt_mm,XGBoost,"n_estimators=300, max_depth=6, learning_rate=0.06",False,2.2176509133575855,0.8165200184349268,2.1679196575976354
7,smlt_mm,XGBoost,"n_estimators=300, max_depth=6, learning_rate=0.12",False,2.244322161996548,0.7967874298186262,2.2815191784472635
15,snowc,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=1",False,14.496086610075722,0.9368065447422865,12.281468766308887
15,snowc,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=2",False,14.399826976047274,0.9369707717753344,12.265499855563439
15,snowc,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=5",False,14.396808992995522,0.9363762836106159,12.323207855483997
15,snowc,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=1",False,14.577102918121874,0.9391823556338156,12.048391037999034
15,snowc,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=2",False,14.557197485524261,0.9380417798483115,12.160844179189267
15,snowc,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=5",False,14.468375908264,0.9390066142492175,12.06578626529875
15,snowc,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=1",False,14.896570165454426,0.932617808377346,12.681972970550765
15,snowc,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=2",False,14.800754401243738,0.9337363347949833,12.57627380522332
15,snowc,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=5",False,14.53497383385441,0.9375258528193244,12.211370978882105
15,snowc,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=1",False,14.457254301494437,0.9378175229615769,12.18283230104032
15,snowc,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=2",False,14.400866826136532,0.9375992139639482,12.204199185943608
15,snowc,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=5",False,14.383754519262718,0.9368648115544954,12.275805465729567
15,snowc,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=1",False,14.538185764777808,0.9397462072282465,11.99240955479776
15,snowc,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=2",True,14.536736902862572,0.9385116687458006,12.114642714019519
15,snowc,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=5",False,14.47502948970528,0.9394348712483451,12.023352486278455
15,snowc,Extra Trees,"n_estimators=100, max_depth=18, min_samples_leaf=1",False,14.80690236408718,0.9332389460249756,12.623385618318308
15,snowc,Extra Trees,"n_estimators=100, max_depth=18, min_samples_leaf=2",False,14.748763564390535,0.9347800371327655,12.47683783937261
15,snowc,Extra Trees,"n_estimators=100, max_depth=18, min_samples_leaf=5",False,14.5068731237858,0.9374598301580414,12.21782176175485
15,snowc,Extra Trees,"n_estimators=200, max_depth=8, min_samples_leaf=1",False,14.41519263791087,0.9388365594813349,12.082594778781672
15,snowc,Extra Trees,"n_estimators=200, max_depth=8, min_samples_leaf=2",False,14.400844190105778,0.9376055688627134,12.203577732032903
15,snowc,Extra Trees,"n_estimators=200, max_depth=8, min_samples_leaf=5",False,14.40822863612657,0.9371673373203987,12.246359074289382
15,snowc,Extra Trees,"n_estimators=200, max_depth=12, min_samples_leaf=1",False,14.509085684649836,0.9389006199465708,12.076265675873405
15,snowc,Extra Trees,"n_estimators=200, max_depth=12, min_samples_leaf=2",False,14.529514028893445,0.9387093629720502,12.095151836345478
15,snowc,Extra Trees,"n_estimators=200, max_depth=12, min_samples_leaf=5",False,14.468794241250446,0.9396772068174037,11.99927422159774
15,snowc,Extra Trees,"n_estimators=200, max_depth=18, min_samples_leaf=1",False,14.804193000738211,0.9338593062839511,12.56459892063139
15,snowc,Extra Trees,"n_estimators=200, max_depth=18, min_samples_leaf=2",False,14.72539068783592,0.935506971094266,12.407110324800637
15,snowc,Extra Trees,"n_estimators=200, max_depth=18, min_samples_leaf=5",False,14.508135607521726,0.9380765237206425,12.157434025816247
15,sd,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=1",False,0.04021382796020638,0.9615671628992619,0.04000135514045578
15,sd,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=2",False,0.040378928226178515,0.9616548742403475,0.03995568356282593
15,sd,Extra Trees,"n_estimators=60, max_depth=8, min_samples_leaf=5",False,0.0401291390962629,0.9607352950025323,0.040431946619392374
15,sd,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=1",False,0.039453467665072954,0.9639314502270978,0.03875143791703552
15,sd,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=2",False,0.039436495629181056,0.9639895436742381,0.03872021803399094
15,sd,Extra Trees,"n_estimators=60, max_depth=12, min_samples_leaf=5",False,0.03917356123127991,0.9641772560460651,0.03861916737636715
15,sd,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=1",False,0.04005676842641437,0.9626949600131186,0.03941007276068215
15,sd,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=2",False,0.03981049673884511,0.9633711019499277,0.03905129213899839
15,sd,Extra Trees,"n_estimators=60, max_depth=18, min_samples_leaf=5",False,0.039665568111825776,0.9635423399238919,0.038959903942327505
15,sd,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=1",False,0.040118173064637684,0.9619201826149256,0.039817217757824035
15,sd,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=2",False,0.04025030313564915,0.9617451163972094,0.03990863963070372
15,sd,Extra Trees,"n_estimators=100, max_depth=8, min_samples_leaf=5",False,0.0400106249862748,0.9610974653242143,0.04024504626700932
15,sd,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=1",False,0.039368679522207614,0.9637710288809096,0.038837519293909335
15,sd,Extra Trees,"n_estimators=100, max_depth=12, min_samples_leaf=2",True,0.0393213303812274,0.9636158136716408,0.03892062586153137
