time;t2m_C;d2m_C;tsn_C;sp_hPa;ws;wd;snowc;sd;rsn;sde_mm;tp_mm;e_mm;sro_mm;ro_mm;ssro_mm;smlt_mm;sf_mm;ssr_W;ssrd_W;str_W;strd_W;slhf_W;sshf_W
1950-03-26;-3.3273723;-5.560964;-3.6332386;742.5583;0.93727666;188.37128;100.0;0.64839035;339.00455;1913.4928;4.7250304;-0.20632893;0.0;0.09174645;0.09174645;0.0;4.255757;1760.3922;5771.383;-1126.4875;5694.642;-162.11;-325.01556
1950-03-27;-5.573517;-7.0855384;-3.4634907;743.81683;1.1230415;223.42201;100.0;0.65260834;339.37598;1923.5433;4.374974;-0.2940092;0.0;0.09137392;0.09137392;0.0;4.3415504;1520.24;5306.237;-1083.3744;5703.348;-230.92444;-456.82443
1950-03-28;-5.282511;-10.211685;-4.7621675;744.36884;0.8340331;196.10121;100.0;0.6550774;340.34863;1925.7406;0.7813722;-0.28217956;0.0;0.09100139;0.09101629;0.0;0.77969205;1899.0261;6864.9326;-1600.9983;4974.5576;-221.28166;-356.30777
1950-03-29;-4.7842407;-5.6409583;-4.8158174;741.836;0.81965977;151.44249;100.0;0.66921085;329.1045;2032.0638;23.586391;-0.053837895;0.0;0.090658665;0.090651214;0.0;23.551472;465.62888;1835.6716;-218.80112;6591.7407;-42.22111;-131.80888
1950-03-30;-4.4007163;-8.885957;-4.7328086;745.09326;0.78797483;64.17581;100.0;0.67986804;323.6631;2102.2136;0.46581924;-0.13074465;0.0;0.09030104;0.090293586;0.0;0.35669282;1486.0344;6259.818;-1408.1956;5215.6064;-102.08;-331.34555
1950-03-31;-1.7300619;-11.364362;-6.533377;749.9123;0.97668415;93.47454;100.0;0.6799598;328.12955;2073.9338;0.0012814989;-0.06357953;0.0;0.08994341;0.08993596;0.0;0.0;1784.7922;7280.802;-1806.7028;4583.108;-49.004444;-211.49889
1950-04-01;1.5036112;-11.471175;-6.70075;751.8991;1.0610186;126.27964;100.0;0.6798983;332.07388;2048.869;0.00085532654;-0.07942878;0.0;0.08957088;0.08958578;0.0;0.0;1806.3545;7156.5215;-1541.3672;5010.4487;-61.39111;-141.00111
1950-04-02;2.767873;-11.5996475;-6.1982217;753.87494;1.069806;94.28759;100.0;0.67983276;336.03745;2024.6176;0.0021457653;-0.084631145;0.0;0.08922815;0.08922815;0.0;0.0;1906.01;7312.229;-1767.897;4777.311;-65.43445;-118.35111
1950-04-03;3.1427307;-14.992587;-6.437719;754.04193;1.0372093;165.99214;100.0;0.6797468;339.9642;2001.2207;0.0004351138;-0.11576153;0.0;0.088870525;0.088877976;0.0;0.0;2015.9;7451.291;-1793.9462;4750.306;-89.888885;-114.24778
1950-04-04;3.6938477;-12.523967;-5.326935;751.44135;1.0930167;81.63229;100.0;0.6795263;343.95932;1977.7426;0.11596084;-0.12279302;0.018388033;0.10691583;0.0885278;0.30126795;0.0;1907.0623;6798.4346;-1238.1812;5564.539;-95.42;-124.23222
1950-04-05;3.843455;-9.156505;-3.2928822;749.96893;1.0359434;100.4927;100.0;0.6787898;348.46158;1951.0092;0.26879925;-0.12021512;0.08171797;0.16990304;0.08818507;1.1159517;0.0;2021.25;6941.919;-1151.1528;5841.579;-93.113335;-179.94444
1950-04-06;2.7137349;-4.0454307;-1.5111681;749.4231;0.8779464;116.67273;100.0;0.67732316;353.75064;1918.0502;0.79577565;-0.054124743;0.17881393;0.26667118;0.087842345;2.0701513;0.0;1633.2217;5405.281;-753.0161;6388.6436;-41.331112;-179.46333
1950-04-07;-0.038798016;-2.6285603;-0.30732346;748.3195;0.8301917;92.10638;100.0;0.6776064;361.18945;1879.3945;6.577558;-0.07231347;0.7003248;0.7878542;0.08749962;3.632441;0.032704324;1560.2333;4503.5864;-816.9825;6393.191;-55.835556;-209.22
1950-04-08;-0.10417684;-2.7978618;-0.18007915;746.79364;0.6866408;137.40833;100.0;0.67431885;367.29428;1838.9486;3.7248135;-0.17721951;0.9469688;1.0341257;0.08717179;9.156903;0.3130436;2030.4711;5335.908;-1147.0884;6005.0522;-138.16777;-265.72446
1950-04-09;-0.9866231;-5.236837;-0.27209854;747.7452;0.865488;234.06885;100.0;0.6681039;373.05923;1793.7012;0.21241009;-0.49514323;0.5708337;0.65767765;0.08683652;5.142415;0.090293586;2880.5605;7047.959;-1653.878;5444.59;-388.00333;-407.23666
